,Sex,Alcohol Drinking,Lifetime Average of Cigarette Smoking Frequency,Lifetime Cigarette Smoking Duration,Education,Race,Family History of Head and Neck Cancer,Current Age,5-year Oral Cavity Cancer risk (%),10-year Oral Cavity Cancer risk (%),15-year Oral Cavity Cancer risk (%),20-year Oral Cavity Cancer risk (%),25-year Oral Cavity Cancer risk (%),30-year Oral Cavity Cancer risk (%),5-year Oropharyngeal Cancer risk (%),10-year Oropharyngeal Cancer risk (%),15-year Oropharyngeal Cancer risk (%),20-year Oropharyngeal Cancer risk (%),25-year Oropharyngeal Cancer risk (%),30-year Oropharyngeal Cancer risk (%),5-year Hypopharyngeal Cancer risk (%),10-year Hypopharyngeal Cancer risk (%),15-year Hypopharyngeal Cancer risk (%),20-year Hypopharyngeal Cancer risk (%),25-year Hypopharyngeal Cancer risk (%),30-year Hypopharyngeal Cancer risk (%),5-year Laryngeal Cancer risk (%),10-year Laryngeal Cancer risk (%),15-year Laryngeal Cancer risk (%),20-year Laryngeal Cancer risk (%),25-year Laryngeal Cancer risk (%),30-year Laryngeal Cancer risk (%),5-year Head and Neck Cancer risk (%),10-year Head and Neck Cancer risk (%),15-year Head and Neck Cancer risk (%),20-year Head and Neck Cancer risk (%),25-year Head and Neck Cancer risk (%),30-year Head and Neck Cancer risk (%)
0,male,never or <1 drink/day,never,never,> high school,non-Hispanic White,unknown,<45,0.001827394182,0.02116539553,0.04096405528,0.06836377966,0.1018189977,0.1337655016,0.0008674444585,0.01367633177,0.02677091145,0.04346282285,0.05970756711,0.07430429053,4.97e-05,0.000685449778,0.00226330004,0.004665909069,0.007792915644,0.01153957548,0.000227315753,0.003136570311,0.007539874574,0.01467148409,0.0245455826,0.03577583098,0.0029718543935000003,0.038663747389000004,0.077538141344,0.131163995669,0.193865063054,0.25538519859
1,male,never or <1 drink/day,never,never,> high school,other,unknown,<45,0.001827394182,0.02116539553,0.04096405528,0.06836377966,0.1018189977,0.1337655016,0.0008674444585,0.01367633177,0.02677091145,0.04346282285,0.05970756711,0.07430429053,8.61e-05,0.001188649041,0.003924799948,0.008091099952,0.01351343309,0.02001006192,0.0002837631043,0.003915433283,0.009412098513,0.01831438271,0.03063977965,0.04465754244,0.0030647017448,0.039945809624,0.081071865191,0.138232085172,0.20567977755,0.27273739648999995
2,male,never or <1 drink/day,never,never,high school,non-Hispanic White,unknown,<45,0.002280258326,0.02640995363,0.05111321329,0.08529835271,0.1270350203,0.1668855117,0.00108729733,0.01714230096,0.03355484194,0.05447537356,0.07483449144,0.09312730347,6.39e-05,0.0008810146383,0.002909032686,0.005997098028,0.01001619303,0.01483166048,0.0004119652938,0.00568435137,0.01366412947,0.02658755908,0.04447933831,0.06482628589,0.0038434209498,0.0501176205983,0.101241217386,0.172358383378,0.25636504308,0.33967076154
3,male,never or <1 drink/day,never,never,high school,other,unknown,<45,0.002280258326,0.02640995363,0.05111321329,0.08529835271,0.1270350203,0.1668855117,0.00108729733,0.01714230096,0.03355484194,0.05447537356,0.07483449144,0.09312730347,0.0001107245872,0.001527779971,0.005044555845,0.01039944621,0.01736859088,0.02571831574,0.0005142649475,0.007095848309,0.01705693212,0.0331886802,0.05552122742,0.08091682382,0.0039925451907,0.05217588287,0.10676954319500001,0.18336185268,0.27475933004,0.36664795472999995
4,male,never or <1 drink/day,never,never,< high school,non-Hispanic White,unknown,<45,0.002845349493,0.03295383985,0.06377608198,0.106425513,0.1584906684,0.2081966576,0.001362871297,0.02148654902,0.04205749623,0.0682772798,0.09379192677,0.1167156298,8.21e-05,0.001132375556,0.003738993056,0.007708061268,0.01287371561,0.01906283303,0.0007466058708,0.01030154219,0.02476217144,0.04817934535,0.08059451807,0.1174507048,0.0050369266607999995,0.065874306616,0.13433474270600002,0.23059019941800002,0.34575082885,0.46142582523
5,male,never or <1 drink/day,never,never,< high school,other,unknown,<45,0.002845349493,0.03295383985,0.06377608198,0.106425513,0.1584906684,0.2081966576,0.001362871297,0.02148654902,0.04205749623,0.0682772798,0.09379192677,0.1167156298,0.000142315406,0.001963666664,0.006483770412,0.01336630468,0.02232342873,0.03305465823,0.0009320034351,0.01285947173,0.03091018009,0.06013955696,0.1005970649,0.1465925104,0.0052825396311,0.069263527264,0.143227528712,0.24820865444,0.3752030888,0.50455945603
6,male,never or <1 drink/day,<=20 cigarettes/day,<=20 years,> high school,non-Hispanic White,unknown,<45,0.001948014022,0.02256230242,0.04366737026,0.0728745673,0.1085359048,0.1425881301,0.0009086148332,0.0143253893,0.02804132739,0.04552516347,0.06254046627,0.07782943713,6.74e-05,0.0009305483073,0.003072586678,0.006334265845,0.01057930835,0.01566547848,0.0003881295699,0.005355471204,0.01287359314,0.02504943947,0.04190640178,0.06107679457,0.0033121584251000003,0.0431737112313,0.087654877468,0.149783436085,0.2235620812,0.29715984028
7,male,never or <1 drink/day,<=20 cigarettes/day,<=20 years,> high school,other,unknown,<45,0.001948014022,0.02256230242,0.04366737026,0.0728745673,0.1085359048,0.1425881301,0.0009086148332,0.0143253893,0.02804132739,0.04552516347,0.06254046627,0.07782943713,0.0001169499295,0.001613676711,0.005328171652,0.0109841078,0.01834502076,0.02716407561,0.000484510326,0.006685305773,0.01607012185,0.03126874095,0.05230974518,0.07623706525,0.0034580891107,0.045186674204,0.093106991152,0.16065257952,0.24173113701,0.32381870809
8,male,never or <1 drink/day,<=20 cigarettes/day,<=20 years,high school,non-Hispanic White,unknown,<45,0.002430769765,0.02815294966,0.05448610845,0.0909259914,0.135414209,0.1778904854,0.001138902233,0.01795583304,0.03514713197,0.05706011237,0.07838480908,0.09754498325,8.67e-05,0.001196041513,0.003949208802,0.008141418452,0.01359747048,0.02013449572,0.000703408389,0.009705537838,0.02332963632,0.04539241384,0.0759333281,0.1106593388,0.004359780387,0.057010362051000005,0.11691208554200001,0.201519936062,0.30332981666000003,0.40622930317
9,male,never or <1 drink/day,<=20 cigarettes/day,<=20 years,high school,other,unknown,<45,0.002430769765,0.02815294966,0.05448610845,0.0909259914,0.135414209,0.1778904854,0.001138902233,0.01795583304,0.03514713197,0.05706011237,0.07838480908,0.09754498325,0.0001503168986,0.002074070108,0.00684829911,0.01411775203,0.02357837497,0.03491275165,0.0008780791791,0.01211548531,0.02912202504,0.05666099289,0.0947796158,0.1381173686,0.0045980680757,0.060298338118000006,0.12560356457,0.21876484868999996,0.33215700885,0.44846558890000005
10,male,never or <1 drink/day,<=20 cigarettes/day,<=20 years,< high school,non-Hispanic White,unknown,<45,0.003033159947,0.03512864034,0.06798429274,0.1134462137,0.1689427988,0.2219225294,0.001427555296,0.02250622505,0.04405317477,0.07151664597,0.09824116134,0.1222515326,0.0001114132118,0.001537281558,0.005075928427,0.01046411951,0.01747660048,0.02587824155,0.001274787506,0.01758870009,0.04227632466,0.08224906934,0.1375688111,0.2004484639,0.0058469159608,0.076760847038,0.159389720597,0.27767604852,0.42222937171999997,0.57050076745
11,male,never or <1 drink/day,<=20 cigarettes/day,<=20 years,< high school,other,unknown,<45,0.003033159947,0.03512864034,0.06798429274,0.1134462137,0.1689427988,0.2219225294,0.001427555296,0.02250622505,0.04405317477,0.07151664597,0.09824116134,0.1222515326,0.0001932037841,0.002665815226,0.008802099284,0.01814530498,0.03030442424,0.04487121959,0.001591342367,0.0219558695,0.05277160918,0.1026623243,0.1716986009,0.2501549686,0.006245261394099999,0.082256550116,0.173611175974,0.30577048895000003,0.46918698528,0.63920025019
